,0
0,Al
1,As
2,B
3,Ba
4,Br
5,Ca
6,Cd
7,Cl
8,Co
9,Cr
10,Cu
11,Fe
12,Hg
13,K
14,Mg
15,Mn
16,Mo
17,Na
18,Ni
19,P
20,Pb
21,Rb
22,S
23,Sb
24,Sc
25,Si
26,Sn
27,Sr
28,Ti
29,V
30,Zn
31,Zr
32,otherOrUndefinedElements
33,Ag
34,Be
35,Ce
36,Dy
37,Er
38,Eu
39,Gd
40,Ho
41,La
42,Li
43,Lu
44,Nd
45,Pr
46,Se
47,Sm
48,Tb
49,Tm
50,Y
51,Yb
52,Bi
53,C
54,Ga
55,Nb
56,Ta
57,Th
58,Au
59,Ge
60,REE
61,Tl
62,U
63,Hf
64,In
65,O
66,Rh
67,Te
68,W
